"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
12580,4,6,1987,1,"NL","M",31,99,"Neotoma","albigula","Rodent","Spectab exclosure"
12810,5,28,1987,1,"NL","M",31,75,"Neotoma","albigula","Rodent","Spectab exclosure"
12990,7,1,1987,1,"NL","M",32,100,"Neotoma","albigula","Rodent","Spectab exclosure"
17146,2,24,1990,1,"NL","M",25,48,"Neotoma","albigula","Rodent","Spectab exclosure"
32037,5,26,2001,1,"NL","M",31,94,"Neotoma","albigula","Rodent","Spectab exclosure"
263,10,16,1977,1,"DM","M",37,40,"Dipodomys","merriami","Rodent","Spectab exclosure"
285,10,16,1977,1,"DM","M",36,53,"Dipodomys","merriami","Rodent","Spectab exclosure"
352,11,12,1977,1,"DM","M",36,40,"Dipodomys","merriami","Rodent","Spectab exclosure"
542,1,9,1978,1,"DM","M",36,40,"Dipodomys","merriami","Rodent","Spectab exclosure"
642,2,20,1978,1,"DM","M",36,43,"Dipodomys","merriami","Rodent","Spectab exclosure"
913,5,19,1978,1,"DM","M",37,42,"Dipodomys","merriami","Rodent","Spectab exclosure"
923,5,19,1978,1,"DM","M",34,21,"Dipodomys","merriami","Rodent","Spectab exclosure"
1511,12,2,1978,1,"DM","M",37,42,"Dipodomys","merriami","Rodent","Spectab exclosure"
1651,2,25,1979,1,"DM","M",38,43,"Dipodomys","merriami","Rodent","Spectab exclosure"
1654,2,25,1979,1,"DM","M",37,48,"Dipodomys","merriami","Rodent","Spectab exclosure"
1820,5,30,1979,1,"DM","M",32,19,"Dipodomys","merriami","Rodent","Spectab exclosure"
2007,8,23,1979,1,"DM","M",35,53,"Dipodomys","merriami","Rodent","Spectab exclosure"
2334,1,16,1980,1,"DM","M",38,44,"Dipodomys","merriami","Rodent","Spectab exclosure"
2336,1,16,1980,1,"DM","M",35,42,"Dipodomys","merriami","Rodent","Spectab exclosure"
2453,2,25,1980,1,"DM","M",37,51,"Dipodomys","merriami","Rodent","Spectab exclosure"
2833,4,17,1980,1,"DM","M",33,19,"Dipodomys","merriami","Rodent","Spectab exclosure"
3006,5,24,1980,1,"DM","M",36,54,"Dipodomys","merriami","Rodent","Spectab exclosure"
3736,1,12,1981,1,"DM","M",36,51,"Dipodomys","merriami","Rodent","Spectab exclosure"
3950,3,9,1981,1,"DM","M",38,49,"Dipodomys","merriami","Rodent","Spectab exclosure"
4601,7,7,1981,1,"DM","M",37,46,"Dipodomys","merriami","Rodent","Spectab exclosure"
5181,1,1,1982,1,"DM","M",37,51,"Dipodomys","merriami","Rodent","Spectab exclosure"
5186,1,1,1982,1,"DM","M",35,42,"Dipodomys","merriami","Rodent","Spectab exclosure"
5238,1,24,1982,1,"DM","M",36,39,"Dipodomys","merriami","Rodent","Spectab exclosure"
5497,2,24,1982,1,"DM","M",36,47,"Dipodomys","merriami","Rodent","Spectab exclosure"
5499,2,24,1982,1,"DM","M",36,49,"Dipodomys","merriami","Rodent","Spectab exclosure"
5504,2,24,1982,1,"DM","M",35,41,"Dipodomys","merriami","Rodent","Spectab exclosure"
