"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
2999,5,18,1980,14,"NL","M",32,98,"Neotoma","albigula","Rodent","Control"
4129,4,5,1981,14,"NL","M",29,55,"Neotoma","albigula","Rodent","Control"
4500,6,4,1981,14,"NL","M",32,87,"Neotoma","albigula","Rodent","Control"
4510,6,4,1981,14,"NL","M",34,91,"Neotoma","albigula","Rodent","Control"
8075,7,16,1983,14,"NL","M",32,98,"Neotoma","albigula","Rodent","Control"
14606,6,12,1988,14,"NL","M",35,100,"Neotoma","albigula","Rodent","Control"
14728,7,15,1988,14,"NL","M",33,90,"Neotoma","albigula","Rodent","Control"
14919,9,12,1988,14,"NL","M",32,94,"Neotoma","albigula","Rodent","Control"
32143,5,27,2001,14,"NL","M",30,80,"Neotoma","albigula","Rodent","Control"
197,9,12,1977,14,"DM","M",37,51,"Dipodomys","merriami","Rodent","Control"
208,9,12,1977,14,"DM","M",37,45,"Dipodomys","merriami","Rodent","Control"
289,10,17,1977,14,"DM","M",38,47,"Dipodomys","merriami","Rodent","Control"
319,10,17,1977,14,"DM","M",36,45,"Dipodomys","merriami","Rodent","Control"
379,11,13,1977,14,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
395,11,13,1977,14,"DM","M",36,43,"Dipodomys","merriami","Rodent","Control"
461,12,11,1977,14,"DM","M",36,41,"Dipodomys","merriami","Rodent","Control"
490,12,11,1977,14,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
559,1,9,1978,14,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
992,6,9,1978,14,"DM","M",38,46,"Dipodomys","merriami","Rodent","Control"
1025,6,9,1978,14,"DM","M",35,28,"Dipodomys","merriami","Rodent","Control"
1177,8,5,1978,14,"DM","M",35,36,"Dipodomys","merriami","Rodent","Control"
1259,9,4,1978,14,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
1379,10,8,1978,14,"DM","M",38,45,"Dipodomys","merriami","Rodent","Control"
1448,11,5,1978,14,"DM","M",37,45,"Dipodomys","merriami","Rodent","Control"
1538,12,3,1978,14,"DM","M",38,45,"Dipodomys","merriami","Rodent","Control"
1666,2,25,1979,14,"DM","M",36,40,"Dipodomys","merriami","Rodent","Control"
1775,4,29,1979,14,"DM","M",34,27,"Dipodomys","merriami","Rodent","Control"
1831,5,30,1979,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
1901,7,4,1979,14,"DM","M",38,44,"Dipodomys","merriami","Rodent","Control"
1902,7,4,1979,14,"DM","M",35,41,"Dipodomys","merriami","Rodent","Control"
1975,8,21,1979,14,"DM","M",35,46,"Dipodomys","merriami","Rodent","Control"
2046,9,23,1979,14,"DM","M",37,45,"Dipodomys","merriami","Rodent","Control"
2189,11,17,1979,14,"DM","M",34,21,"Dipodomys","merriami","Rodent","Control"
2218,11,18,1979,14,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
2353,1,16,1980,14,"DM","M",36,48,"Dipodomys","merriami","Rodent","Control"
2354,1,16,1980,14,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
2401,1,16,1980,14,"DM","M",36,37,"Dipodomys","merriami","Rodent","Control"
2488,2,25,1980,14,"DM","M",38,56,"Dipodomys","merriami","Rodent","Control"
2489,2,25,1980,14,"DM","M",35,39,"Dipodomys","merriami","Rodent","Control"
2521,2,25,1980,14,"DM","M",37,42,"Dipodomys","merriami","Rodent","Control"
2987,5,18,1980,14,"DM","M",36,43,"Dipodomys","merriami","Rodent","Control"
3082,6,23,1980,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
3158,7,22,1980,14,"DM","M",38,42,"Dipodomys","merriami","Rodent","Control"
3179,7,22,1980,14,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
3231,8,14,1980,14,"DM","M",35,41,"Dipodomys","merriami","Rodent","Control"
3244,8,14,1980,14,"DM","M",36,45,"Dipodomys","merriami","Rodent","Control"
3322,9,8,1980,14,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
3401,10,12,1980,14,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
3483,11,9,1980,14,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
3486,11,9,1980,14,"DM","M",35,46,"Dipodomys","merriami","Rodent","Control"
3518,11,9,1980,14,"DM","M",35,47,"Dipodomys","merriami","Rodent","Control"
3614,12,16,1980,14,"DM","M",35,46,"Dipodomys","merriami","Rodent","Control"
3774,1,12,1981,14,"DM","M",36,53,"Dipodomys","merriami","Rodent","Control"
3803,1,12,1981,14,"DM","M",36,52,"Dipodomys","merriami","Rodent","Control"
3886,2,1,1981,14,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
4010,3,9,1981,14,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
4177,4,5,1981,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
4420,5,4,1981,14,"DM","M",35,46,"Dipodomys","merriami","Rodent","Control"
4435,5,4,1981,14,"DM","M",35,41,"Dipodomys","merriami","Rodent","Control"
4476,5,4,1981,14,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
4537,6,4,1981,14,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
4654,7,8,1981,14,"DM","M",35,49,"Dipodomys","merriami","Rodent","Control"
4701,7,30,1981,14,"DM","M",34,47,"Dipodomys","merriami","Rodent","Control"
4800,8,31,1981,14,"DM","M",36,49,"Dipodomys","merriami","Rodent","Control"
4850,9,30,1981,14,"DM","M",36,48,"Dipodomys","merriami","Rodent","Control"
4912,10,25,1981,14,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
5023,11,23,1981,14,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
5030,11,23,1981,14,"DM","M",36,34,"Dipodomys","merriami","Rodent","Control"
5035,11,23,1981,14,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
5068,11,23,1981,14,"DM","M",37,43,"Dipodomys","merriami","Rodent","Control"
5070,11,23,1981,14,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
5118,12,31,1981,14,"DM","M",36,37,"Dipodomys","merriami","Rodent","Control"
5125,12,31,1981,14,"DM","M",33,34,"Dipodomys","merriami","Rodent","Control"
5278,1,25,1982,14,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
5284,1,25,1982,14,"DM","M",36,38,"Dipodomys","merriami","Rodent","Control"
5392,2,23,1982,14,"DM","M",36,42,"Dipodomys","merriami","Rodent","Control"
5407,2,23,1982,14,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
5414,2,23,1982,14,"DM","M",36,49,"Dipodomys","merriami","Rodent","Control"
5420,2,23,1982,14,"DM","M",38,56,"Dipodomys","merriami","Rodent","Control"
5443,2,23,1982,14,"DM","M",36,54,"Dipodomys","merriami","Rodent","Control"
5619,3,30,1982,14,"DM","M",35,41,"Dipodomys","merriami","Rodent","Control"
5652,3,30,1982,14,"DM","M",37,54,"Dipodomys","merriami","Rodent","Control"
5674,3,30,1982,14,"DM","M",37,51,"Dipodomys","merriami","Rodent","Control"
5773,4,29,1982,14,"DM","M",38,53,"Dipodomys","merriami","Rodent","Control"
5953,5,22,1982,14,"DM","M",38,52,"Dipodomys","merriami","Rodent","Control"
5955,5,22,1982,14,"DM","M",36,45,"Dipodomys","merriami","Rodent","Control"
5976,5,22,1982,14,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
6448,8,16,1982,14,"DM","M",36,55,"Dipodomys","merriami","Rodent","Control"
6450,8,16,1982,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
6472,8,16,1982,14,"DM","M",34,28,"Dipodomys","merriami","Rodent","Control"
6482,8,16,1982,14,"DM","M",34,31,"Dipodomys","merriami","Rodent","Control"
6525,9,18,1982,14,"DM","M",35,37,"Dipodomys","merriami","Rodent","Control"
6534,9,18,1982,14,"DM","M",34,43,"Dipodomys","merriami","Rodent","Control"
6815,10,24,1982,14,"DM","M",35,47,"Dipodomys","merriami","Rodent","Control"
6834,10,24,1982,14,"DM","M",35,42,"Dipodomys","merriami","Rodent","Control"
6878,10,24,1982,14,"DM","M",36,38,"Dipodomys","merriami","Rodent","Control"
6926,10,24,1982,14,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
6964,11,21,1982,14,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
6973,11,21,1982,14,"DM","M",34,39,"Dipodomys","merriami","Rodent","Control"
6977,11,21,1982,14,"DM","M",33,41,"Dipodomys","merriami","Rodent","Control"
6994,11,21,1982,14,"DM","M",36,43,"Dipodomys","merriami","Rodent","Control"
7195,1,12,1983,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
7400,2,27,1983,14,"DM","M",34,42,"Dipodomys","merriami","Rodent","Control"
7582,3,15,1983,14,"DM","M",36,45,"Dipodomys","merriami","Rodent","Control"
7621,3,15,1983,14,"DM","M",35,43,"Dipodomys","merriami","Rodent","Control"
7665,4,16,1983,14,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
7683,4,16,1983,14,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
7698,4,16,1983,14,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
7813,5,14,1983,14,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
7821,5,14,1983,14,"DM","M",39,49,"Dipodomys","merriami","Rodent","Control"
7946,6,17,1983,14,"DM","M",33,43,"Dipodomys","merriami","Rodent","Control"
7975,6,17,1983,14,"DM","M",34,45,"Dipodomys","merriami","Rodent","Control"
8054,7,16,1983,14,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
8073,7,16,1983,14,"DM","M",32,47,"Dipodomys","merriami","Rodent","Control"
8169,8,15,1983,14,"DM","M",35,44,"Dipodomys","merriami","Rodent","Control"
8302,9,10,1983,14,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
8472,10,15,1983,14,"DM","M",36,43,"Dipodomys","merriami","Rodent","Control"
8597,11,12,1983,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
8706,12,8,1983,14,"DM","M",34,44,"Dipodomys","merriami","Rodent","Control"
8823,2,4,1984,14,"DM","M",37,46,"Dipodomys","merriami","Rodent","Control"
8924,3,12,1984,14,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
8928,3,12,1984,14,"DM","M",35,47,"Dipodomys","merriami","Rodent","Control"
9001,4,9,1984,14,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
9056,5,12,1984,14,"DM","M",38,51,"Dipodomys","merriami","Rodent","Control"
9080,5,12,1984,14,"DM","M",34,39,"Dipodomys","merriami","Rodent","Control"
9318,7,3,1984,14,"DM","M",34,38,"Dipodomys","merriami","Rodent","Control"
9400,7,31,1984,14,"DM","M",36,41,"Dipodomys","merriami","Rodent","Control"
9552,9,29,1984,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
9556,9,29,1984,14,"DM","M",35,44,"Dipodomys","merriami","Rodent","Control"
9657,10,20,1984,14,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
9661,10,20,1984,14,"DM","M",35,39,"Dipodomys","merriami","Rodent","Control"
9728,12,30,1984,14,"DM","M",36,51,"Dipodomys","merriami","Rodent","Control"
9797,1,19,1985,14,"DM","M",36,45,"Dipodomys","merriami","Rodent","Control"
9843,1,19,1985,14,"DM","M",36,39,"Dipodomys","merriami","Rodent","Control"
9952,2,16,1985,14,"DM","M",37,42,"Dipodomys","merriami","Rodent","Control"
10073,3,16,1985,14,"DM","M",35,47,"Dipodomys","merriami","Rodent","Control"
10136,4,20,1985,14,"DM","M",36,52,"Dipodomys","merriami","Rodent","Control"
10142,4,20,1985,14,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
10146,4,20,1985,14,"DM","M",35,48,"Dipodomys","merriami","Rodent","Control"
10159,4,20,1985,14,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
10178,4,20,1985,14,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
10248,4,20,1985,14,"DM","M",38,51,"Dipodomys","merriami","Rodent","Control"
10389,5,23,1985,14,"DM","M",37,49,"Dipodomys","merriami","Rodent","Control"
10407,5,23,1985,14,"DM","M",35,34,"Dipodomys","merriami","Rodent","Control"
10464,6,15,1985,14,"DM","M",36,51,"Dipodomys","merriami","Rodent","Control"
10475,6,15,1985,14,"DM","M",35,42,"Dipodomys","merriami","Rodent","Control"
10541,7,23,1985,14,"DM","M",37,49,"Dipodomys","merriami","Rodent","Control"
10554,7,23,1985,14,"DM","M",38,50,"Dipodomys","merriami","Rodent","Control"
10565,7,23,1985,14,"DM","M",37,43,"Dipodomys","merriami","Rodent","Control"
10633,8,19,1985,14,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
10637,8,19,1985,14,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
10640,8,19,1985,14,"DM","M",37,49,"Dipodomys","merriami","Rodent","Control"
10667,8,19,1985,14,"DM","M",38,46,"Dipodomys","merriami","Rodent","Control"
10735,9,21,1985,14,"DM","M",38,56,"Dipodomys","merriami","Rodent","Control"
10743,9,21,1985,14,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
10771,9,21,1985,14,"DM","M",35,48,"Dipodomys","merriami","Rodent","Control"
10842,10,12,1985,14,"DM","M",37,51,"Dipodomys","merriami","Rodent","Control"
10876,10,12,1985,14,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
10961,11,16,1985,14,"DM","M",38,52,"Dipodomys","merriami","Rodent","Control"
10998,11,16,1985,14,"DM","M",38,52,"Dipodomys","merriami","Rodent","Control"
11004,11,16,1985,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
11099,12,7,1985,14,"DM","M",33,47,"Dipodomys","merriami","Rodent","Control"
11129,12,7,1985,14,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
11277,3,8,1986,14,"DM","M",38,49,"Dipodomys","merriami","Rodent","Control"
11357,4,12,1986,14,"DM","M",36,52,"Dipodomys","merriami","Rodent","Control"
11471,5,10,1986,14,"DM","M",38,50,"Dipodomys","merriami","Rodent","Control"
11544,6,4,1986,14,"DM","M",38,49,"Dipodomys","merriami","Rodent","Control"
11563,6,4,1986,14,"DM","M",38,50,"Dipodomys","merriami","Rodent","Control"
11635,7,3,1986,14,"DM","M",35,50,"Dipodomys","merriami","Rodent","Control"
11654,7,3,1986,14,"DM","M",35,55,"Dipodomys","merriami","Rodent","Control"
11738,8,9,1986,14,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
11808,9,6,1986,14,"DM","M",36,49,"Dipodomys","merriami","Rodent","Control"
11821,9,6,1986,14,"DM","M",36,53,"Dipodomys","merriami","Rodent","Control"
11835,9,6,1986,14,"DM","M",34,20,"Dipodomys","merriami","Rodent","Control"
11907,10,4,1986,14,"DM","M",36,54,"Dipodomys","merriami","Rodent","Control"
11965,11,15,1986,14,"DM","M",34,49,"Dipodomys","merriami","Rodent","Control"
11983,11,15,1986,14,"DM","M",36,51,"Dipodomys","merriami","Rodent","Control"
11989,11,15,1986,14,"DM","M",37,52,"Dipodomys","merriami","Rodent","Control"
12084,12,14,1986,14,"DM","M",35,52,"Dipodomys","merriami","Rodent","Control"
12098,12,14,1986,14,"DM","M",35,51,"Dipodomys","merriami","Rodent","Control"
12174,1,31,1987,14,"DM","M",35,49,"Dipodomys","merriami","Rodent","Control"
12217,1,31,1987,14,"DM","M",37,51,"Dipodomys","merriami","Rodent","Control"
12323,3,1,1987,14,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
12356,3,1,1987,14,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
12497,4,4,1987,14,"DM","M",45,50,"Dipodomys","merriami","Rodent","Control"
12629,4,25,1987,14,"DM","M",35,49,"Dipodomys","merriami","Rodent","Control"
12663,4,25,1987,14,"DM","M",36,52,"Dipodomys","merriami","Rodent","Control"
12793,5,28,1987,14,"DM","M",36,53,"Dipodomys","merriami","Rodent","Control"
12892,6,30,1987,14,"DM","M",35,28,"Dipodomys","merriami","Rodent","Control"
12908,6,30,1987,14,"DM","M",36,32,"Dipodomys","merriami","Rodent","Control"
12943,6,30,1987,14,"DM","M",36,53,"Dipodomys","merriami","Rodent","Control"
13207,8,25,1987,14,"DM","M",35,38,"Dipodomys","merriami","Rodent","Control"
13231,8,25,1987,14,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
13243,8,25,1987,14,"DM","M",35,40,"Dipodomys","merriami","Rodent","Control"
13348,9,26,1987,14,"DM","M",35,39,"Dipodomys","merriami","Rodent","Control"
13400,9,26,1987,14,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
13529,10,24,1987,14,"DM","M",36,48,"Dipodomys","merriami","Rodent","Control"
13680,11,21,1987,14,"DM","M",36,38,"Dipodomys","merriami","Rodent","Control"
13869,1,23,1988,14,"DM","M",33,43,"Dipodomys","merriami","Rodent","Control"
14172,2,22,1988,14,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
14215,3,20,1988,14,"DM","M",39,56,"Dipodomys","merriami","Rodent","Control"
14244,3,20,1988,14,"DM","M",37,45,"Dipodomys","merriami","Rodent","Control"
14386,4,18,1988,14,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
14507,5,15,1988,14,"DM","M",37,45,"Dipodomys","merriami","Rodent","Control"
14588,6,12,1988,14,"DM","M",40,52,"Dipodomys","merriami","Rodent","Control"
14623,6,12,1988,14,"DM","M",36,45,"Dipodomys","merriami","Rodent","Control"
14720,7,15,1988,14,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
14813,8,10,1988,14,"DM","M",36,44,"Dipodomys","merriami","Rodent","Control"
14926,9,12,1988,14,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
14989,10,9,1988,14,"DM","M",35,39,"Dipodomys","merriami","Rodent","Control"
14993,10,9,1988,14,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
15001,10,9,1988,14,"DM","M",37,60,"Dipodomys","merriami","Rodent","Control"
15091,11,6,1988,14,"DM","M",37,60,"Dipodomys","merriami","Rodent","Control"
15096,11,6,1988,14,"DM","M",36,51,"Dipodomys","merriami","Rodent","Control"
15115,11,6,1988,14,"DM","M",36,36,"Dipodomys","merriami","Rodent","Control"
15120,11,6,1988,14,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
15250,12,14,1988,14,"DM","M",34,48,"Dipodomys","merriami","Rodent","Control"
15270,12,14,1988,14,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
15278,12,14,1988,14,"DM","M",36,45,"Dipodomys","merriami","Rodent","Control"
15410,1,11,1989,14,"DM","M",37,43,"Dipodomys","merriami","Rodent","Control"
15421,1,11,1989,14,"DM","M",35,43,"Dipodomys","merriami","Rodent","Control"
15439,1,11,1989,14,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
15572,2,5,1989,14,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
15635,2,5,1989,14,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
15677,3,11,1989,14,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
15789,3,14,1989,14,"DM","M",37,49,"Dipodomys","merriami","Rodent","Control"
15804,3,14,1989,14,"DM","M",37,49,"Dipodomys","merriami","Rodent","Control"
15965,4,2,1989,14,"DM","M",38,48,"Dipodomys","merriami","Rodent","Control"
16051,5,11,1989,14,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
