"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
"1",1,7,16,1977,2,"NL","M",32,NA,"Neotoma","albigula","Rodent","Control"
"2",72,8,19,1977,2,"NL","M",31,NA,"Neotoma","albigula","Rodent","Control"
"3",224,9,13,1977,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"4",266,10,16,1977,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"5",349,11,12,1977,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"6",363,11,12,1977,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"7",435,12,10,1977,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"8",506,1,8,1978,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"9",588,2,18,1978,2,"NL","M",NA,218,"Neotoma","albigula","Rodent","Control"
"10",661,3,11,1978,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"11",748,4,8,1978,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"12",845,5,6,1978,2,"NL","M",32,204,"Neotoma","albigula","Rodent","Control"
"13",990,6,9,1978,2,"NL","M",NA,200,"Neotoma","albigula","Rodent","Control"
"14",1164,8,5,1978,2,"NL","M",34,199,"Neotoma","albigula","Rodent","Control"
"15",1261,9,4,1978,2,"NL","M",32,197,"Neotoma","albigula","Rodent","Control"
"16",1374,10,8,1978,2,"NL","",NA,NA,"Neotoma","albigula","Rodent","Control"
"17",1453,11,5,1978,2,"NL","M",NA,218,"Neotoma","albigula","Rodent","Control"
"18",1756,4,29,1979,2,"NL","M",33,166,"Neotoma","albigula","Rodent","Control"
"19",1818,5,30,1979,2,"NL","M",32,184,"Neotoma","albigula","Rodent","Control"
"20",1882,7,4,1979,2,"NL","M",32,206,"Neotoma","albigula","Rodent","Control"
"21",2133,10,25,1979,2,"NL","F",33,274,"Neotoma","albigula","Rodent","Control"
"22",2184,11,17,1979,2,"NL","F",30,186,"Neotoma","albigula","Rodent","Control"
"23",2406,1,16,1980,2,"NL","F",33,184,"Neotoma","albigula","Rodent","Control"
"24",2728,3,9,1980,2,"NL","F",NA,NA,"Neotoma","albigula","Rodent","Control"
"25",3000,5,18,1980,2,"NL","F",31,87,"Neotoma","albigula","Rodent","Control"
"26",3002,5,18,1980,2,"NL","F",33,174,"Neotoma","albigula","Rodent","Control"
"27",4667,7,8,1981,2,"NL","F",30,130,"Neotoma","albigula","Rodent","Control"
"28",4859,10,1,1981,2,"NL","M",34,208,"Neotoma","albigula","Rodent","Control"
"29",5048,11,23,1981,2,"NL","M",34,192,"Neotoma","albigula","Rodent","Control"
"30",5180,1,1,1982,2,"NL","M",NA,206,"Neotoma","albigula","Rodent","Control"
